PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,pobres,idhm,rendapercapita,candidaturas_mun
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,19,11,,1,38203,-10.7889,-65.329597,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PRB,UMA GUAJARÁ PARA TODOS,PRB / PHS,,,,,3
0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,19,11,,1,38203,-10.7889,-65.329597,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PDT,BRAVA GENTE,PDT / PTB / PSB / PTC / PSD,,,,,3
1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2016,19,11,,1,38203,-10.7889,-65.329597,RO,GUAJARÁ-MIRIM,PREFEITO,COLIGACAO,PMDB,TRABALHO E COMPROMISSO,PMDB / DEM / PP / PV / PSDC / PMN / PT / PSC / PSL / PC do B / PSDB / PTN,,,,,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,1100205,7.9499998,.736,929.19,9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,COLIGACAO,PSDB,JUNTOS POR UMA PORTO VELHO MELHOR,PSDB / PSDC,,,,,9
0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2016,35,11,,1,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,COLIGACAO,PSD,PORTO VELHO MAIS FORTE,PSD / PDT / PSB / PC do B / PTC / REDE / PPL / PV / PHS / SD,,,,,9
0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2016,35,11,,1,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,COLIGACAO,PTB,ABRACE PORTO VELHO,PTB / PP / PRP / PTN / PROS / PSC / PPS,,,,,9
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,COLIGACAO,PR,PARA ORGULHAR PORTO VELHO,PR / PSL,,,,,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,35,11,50,0,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,1100205,7.9499998,.736,929.19,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,1100205,7.9499998,.736,929.19,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,13,0,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,PARTIDO ISOLADO,PT,#NULO#,PT,1100205,7.9499998,.736,929.19,9
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,35,11,,1,419354,-8.7607698,-63.899899,RO,PORTO VELHO,PREFEITO,COLIGACAO,PMDB,POR AMOR A PORTO VELHO,PMDB / DEM / PRB / PRTB,,,,,9
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2016,51,11,,1,115322,-10.8777,-61.932201,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PR,MUDAR PARA CRESCER,PR / PSL / PPS / PMN / PP / PT do B,,,,,3
1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,2016,51,11,,1,115322,-10.8777,-61.932201,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PSB,O TRABALHO CONTINUA,PSB / PDT / PTB / PMDB / PSC / PT / PSDB / PSD / PV / PTN / PROS / PEN / PHS / PC do B / PRP,,,,,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,51,11,,1,115322,-10.8777,-61.932201,RO,JI-PARANÁ,PREFEITO,COLIGACAO,PRB,GOVERNO DA OPORTUNIDADE,PRB / PSDC,,,,,3
0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2016,78,11,,1,88730,-9.9057102,-63.032501,RO,ARIQUEMES,PREFEITO,COLIGACAO,PDT,COMPROMISSO CONTINUA,PDT / PSDB / PRB / PTN / PTB / PT / PSC / PR / PRTB / PSB / PV / PSD / PC do B / SD,,,,,2
